stock,name,market
060310,3S,KOSDAQ
054620,APS홀딩스,KOSDAQ
265520,AP시스템,KOSDAQ
211270,AP위성,KOSDAQ
032040,C&S자산관리,KOSDAQ
130960,CJ E&M,KOSDAQ
035760,CJ오쇼핑,KOSDAQ
051500,CJ프레시웨이,KOSDAQ
058820,CMG제약,KOSDAQ
023460,CNH,KOSDAQ
065770,CS,KOSDAQ
083660,CSA 코스믹,KOSDAQ
068790,DMS,KOSDAQ
241520,DSC인베스트먼트,KOSDAQ
037370,EG,KOSDAQ
079190,EMW,KOSDAQ
130500,GH신소재,KOSDAQ
032860,GMR 머티리얼즈,KOSDAQ
900290,GRT,KOSDAQ
083450,GST,KOSDAQ
028150,GS홈쇼핑,KOSDAQ
078150,HB테크놀러지,KOSDAQ
036640,HRS,KOSDAQ
225430,IBKS제3호스팩,KOSDAQ
254120,IBKS제5호스팩,KOSDAQ
264850,IBKS제6호스팩,KOSDAQ
252500,IBKS지엠비스팩,KOSDAQ
095340,ISC,KOSDAQ
099520,ITX엠투엠,KOSDAQ
067290,JW신약,KOSDAQ
035900,JYP Ent.,KOSDAQ
024120,KB오토시스,KOSDAQ
021320,KCC건설,KOSDAQ
036670,KCI,KOSDAQ
044180,KD건설,KOSDAQ
151860,KG ETS,KOSDAQ
046440,KG모빌리언스,KOSDAQ
035600,KG이니시스,KOSDAQ
060720,KH바텍,KOSDAQ
083470,KJ프리텍,KOSDAQ
122450,KMH,KOSDAQ
052900,KMH하이텍,KOSDAQ
058400,KNN,KOSDAQ
114450,KPX생명과학,KOSDAQ
036030,KTH,KOSDAQ
060370,KT서브마린,KOSDAQ
086960,MDS테크,KOSDAQ
065150,MP그룹,KOSDAQ
219550,MP한강,KOSDAQ
160550,NEW,KOSDAQ
104200,NHN벅스,KOSDAQ
060250,NHN한국사이버결제,KOSDAQ
030190,NICE평가정보,KOSDAQ
024940,PN풍년,KOSDAQ
091340,S&K폴리텍,KOSDAQ
019550,SBI인베스트먼트,KOSDAQ
950110,SBI핀테크솔루션즈,KOSDAQ
046140,SBS콘텐츠허브,KOSDAQ
036120,SCI평가정보,KOSDAQ
099220,SDN,KOSDAQ
036540,SFA반도체,KOSDAQ
040610,SG&G,KOSDAQ
